date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,days_since,time_weight,importance_weight,weight
2016-01-03,India,Afghanistan,2.0,1.0,SAFF Cup,Thiruvananthapuram,India,False,3822,0.05484511166052654,0.65,0.03564932257934225
2016-01-06,Rwanda,Cameroon,1.0,1.0,Friendly,Gisenyi,Rwanda,False,3819,0.05497023741392761,0.15,0.008245535612089142
2016-01-06,Sweden,Estonia,1.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,3819,0.05497023741392761,0.15,0.008245535612089142
2016-01-08,Bangladesh,Sri Lanka,4.0,2.0,Friendly,Jessore,Bangladesh,False,3817,0.05505381313531258,0.15,0.008258071970296887
2016-01-08,Trinidad and Tobago,Haiti,0.0,1.0,Copa América qualification,Panama City,Panama,True,3817,0.05505381313531258,0.65,0.03578497853795318
2016-01-08,Panama,Cuba,4.0,0.0,Copa América qualification,Panama City,Panama,False,3817,0.05505381313531258,0.65,0.03578497853795318
2016-01-10,Rwanda,DR Congo,1.0,0.0,Friendly,Gisenyi,Rwanda,False,3815,0.05513751592366205,0.15,0.008270627388549306
2016-01-10,Sweden,Finland,3.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,True,3815,0.05513751592366205,0.15,0.008270627388549306
2016-01-11,Maldives,Cambodia,3.0,2.0,Friendly,Jessore,Bangladesh,True,3814,0.05517941502830893,0.15,0.008276912254246338
2016-01-13,Finland,Iceland,0.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,3812,0.05526330877942859,0.15,0.008289496316914289
2016-01-13,Nepal,Sri Lanka,1.0,0.0,Friendly,Dhaka,Bangladesh,True,3812,0.05526330877942859,0.15,0.008289496316914289
2016-01-13,Uganda,Cameroon,0.0,0.0,Friendly,Njeru,Uganda,False,3812,0.05526330877942859,0.15,0.008289496316914289
2016-01-15,Bangladesh,Nepal,0.0,0.0,Friendly,Dhaka,Bangladesh,False,3810,0.05534733008103917,0.15,0.008302099512155875
2016-01-16,United Arab Emirates,Iceland,2.0,1.0,Friendly,Dubai,United Arab Emirates,False,3809,0.055389388623868746,0.15,0.008308408293580311
2016-01-19,Maldives,Nepal,1.0,4.0,Friendly,Dhaka,Bangladesh,True,3806,0.055515756111729535,0.15,0.00832736341675943
2016-01-27,Egypt,Jordan,0.0,1.0,Friendly,Aswan,Egypt,False,3798,0.05585414733149791,0.15,0.008378122099724687
2016-01-29,Egypt,Libya,2.0,0.0,Friendly,Aswan,Egypt,False,3796,0.05593906693299829,0.15,0.008390860039949743
2016-01-31,United States,Iceland,3.0,2.0,Friendly,Carson,United States,False,3794,0.05602411564467336,0.15,0.008403617346701003
2016-02-05,Bahrain,Lebanon,2.0,0.0,Friendly,Riffa,Bahrain,False,3789,0.05623730356980694,0.15,0.008435595535471041
2016-02-06,Guadeloupe,Martinique,1.0,1.0,Friendly,Vieux-Habitants,Guadeloupe,False,3788,0.05628003840520636,0.15,0.008442005760780953
2016-02-14,Uzbekistan,Lebanon,2.0,0.0,Friendly,Dubai,United Arab Emirates,True,3780,0.05662308823787402,0.15,0.008493463235681103
2016-02-21,Guyana,Suriname,2.0,0.0,Friendly,Providence,Guyana,False,3773,0.056924971703717485,0.15,0.008538745755557622
2016-02-25,French Guiana,Suriname,2.0,3.0,Friendly,Cayenne,French Guiana,False,3769,0.057098198614883425,0.15,0.008564729792232514
2016-02-27,Egypt,Burkina Faso,2.0,0.0,Friendly,Alexandria,Egypt,False,3767,0.05718500964869955,0.15,0.008577751447304932
2016-03-13,Sint Maarten,Anguilla,2.0,0.0,Friendly,Philipsburg,Sint Maarten,False,3752,0.057840313339727514,0.15,0.008676047000959126
2016-03-13,Tamil Eelam,Romani people,4.0,1.0,ConIFA Challenger Cup,Remscheid,Germany,True,3752,0.057840313339727514,0.35,0.02024410966890463
2016-03-18,Iraq,Syria,0.0,1.0,Friendly,Tehran,Iran,True,3747,0.05806041242113345,0.15,0.008709061863170017
2016-03-18,United Arab Emirates,Bangladesh,6.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,False,3747,0.05806041242113345,0.15,0.008709061863170017
2016-03-22,Cuba,Bermuda,2.0,1.0,CFU Caribbean Cup qualification,Havana,Cuba,False,3743,0.05823709456262102,0.65,0.037854111465703666
2016-03-23,Antigua and Barbuda,Aruba,2.0,1.0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False,3742,0.05828134904305116,0.65,0.03788287687798326
2016-03-23,Barbados,Curaçao,1.0,0.0,CFU Caribbean Cup qualification,Bridgetown,Barbados,False,3742,0.05828134904305116,0.65,0.03788287687798326
2016-03-23,Croatia,Israel,2.0,0.0,Friendly,Osijek,Croatia,False,3742,0.05828134904305116,0.15,0.008742202356457673
2016-03-23,Gibraltar,Liechtenstein,0.0,0.0,Friendly,Gibraltar,Gibraltar,False,3742,0.05828134904305116,0.15,0.008742202356457673
2016-03-23,Guadeloupe,Suriname,0.0,0.0,CFU Caribbean Cup qualification,Les Abymes,Guadeloupe,False,3742,0.05828134904305116,0.65,0.03788287687798326
2016-03-23,Guinea-Bissau,Kenya,1.0,0.0,African Cup of Nations qualification,Bissau,Guinea-Bissau,False,3742,0.05828134904305116,0.65,0.03788287687798326
2016-03-23,Martinique,British Virgin Islands,3.0,0.0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False,3742,0.05828134904305116,0.65,0.03788287687798326
2016-03-23,Poland,Serbia,1.0,0.0,Friendly,Poznań,Poland,False,3742,0.05828134904305116,0.15,0.008742202356457673
